Title,Authors,Abstract,Published Year,Published Month,Journal,Field,subField,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Development of auditory design guidelines for improving learning on mobile phones.,"Kim, Tae-Hyun; Jin, Sung-Hee","Although auditory information in mobile learning (m-learning) can be an important resource for delivering knowledge and information, the importance of guidelines for designing auditory instructions has largely been overlooked. Therefore, this study considered the characteristics of m-learning, mobility and personalization, with the aim of developing and validating auditory design guidelines to improve learning on mobile phones. The present study covers m-learning with cellphones only. Auditory design guidelines were developed and revised using an iterative educational design research process. The auditory design guidelines were developed by analyzing previous studies related to m-learning and auditory interface design, and revised using three validation methods. The expert reviews and usability evaluations were conducted as an internal validation method, and a field evaluation was used as an external validation method to confirm the feasibility and educational effects. The results showed that the auditory design guidelines could be applied effectively to the design of audio instructions delivered on smart phones. Finally, a total of ten guidelines were developed, three for auditory-only design, four for attention design, and three for personalization design. This paper discusses the theoretical, empirical and practical aspects of the design guidelines presented",2015,12/15/,Computers & Education,education,edu_computr,91,,60-72,,,,#4962,Kim 2015,,
Reflections on Andes' Goal-free User Interface.,"VanLehn, Kurt","Although the Andes project produced many results over its 18 years of activity, this commentary focuses on its contributions to understanding how a goal-free user interface impacts the overall design and performance of a step-based tutoring system. Whereas a goal-aligned user interface displays relevant goals as blank boxes or empty locations that the student needs to fill with specific content, a goal-free user interface is essentially a blank canvas, with no visual indications of the goals that should be attempted next. This commentary also briefly mentions work that occurred after the 'final' report on Andes appeared in this journal in 2005. The newer work focused on getting students to ask for hints when they need them. ",2016,03//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,26,1,82-90,,,,#4959,VanLehn 2016,,
Multimodal data to design visual learning analytics for understanding regulation of learning.,"Noroozi, Omid; Alikhani, Iman; Järvelä, Sanna; Kirschner, Paul A.; Juuso, Ilkka; Seppänen, Tapio","The increased interest in multimodal data collection in the learning sciences demands for new and powerful methodological and analytical techniques and technologies. It is especially challenging for learning scientists to handle, analyse, and interpret complex and often invisible multimodal data when investigating regulation of learning in collaborative settings as this data can be cognitive, social and/or emotional in nature, much of which is covert in nature. The aim of this paper is to present ways to simplify the analysis and use of rich multimodal data by learning scientists. This is done by making primarily invisible regulation processes and their accompanying social and contextual reactions visible, measurable, and ultimately interpretable. To facilitate data visualisation and processing with respect to the regulation of learning, a Graphical User Interface (GUI) known as SLAM-KIT has been designed. SLAM-KIT reveals principal features of complex learning environments by allowing users to travel through the learners' data and its statistical characteristics. This kit has practical implications as it simplifies complex information and data while making them available through visualisation and analysis to the researchers. Our short-term goal is to simplify this tool for the teachers and learners. • SLAM-KIT is designed to facilitate data visualisation for regulation of learning. • SLAM stands for Strategic regulation of learning through Learning Analytics and Mobile clouds. • SLAM-KIT reveals principal features of complex learning environments. • SLAM harnesses advanced technologies to enhance strategic regulation of individual and collaborative learning.",2019,11//,Computers in Human Behavior,technology,tech_human_inter,100,,298-304,,,,#4936,Noroozi 2019,,
Fuzzy-logic based learning style prediction in e-learning using web interface information.,"DEBORAH, L; SATHIYASEELAN, R; AUDITHAN, S; VIJAYAKUMAR, P","The e-learners' excellence can be improved by recommending suitable e-contents available in e-learning servers that are based on investigating their learning styles. The learning styles had to be predicted carefully, because the psychological balance is variable in nature and the e-learners are diversified based on the learning patterns, environment, time and their mood. Moreover, the knowledge about the learners used for learning style prediction is uncertain in nature. This paper identifies Felder-Silverman learning style model as a suitable model for learning style prediction, especially in web environments and proposes to use Fuzzy rules to handle the uncertainty in the learning style predictions. The evaluations have used the Gaussian membership function based fuzzy logic for 120 students and tested for learning of C programming language and it has been observed that the proposed model improved the accuracy in prediction significantly.",2015,04//,Sadhana,engineering,eng_cs,40,2,379-394,,,,#5002,DEBORAH 2015,,
Implementation of a Model-Tracing-Based Learning Diagnosis System to Promote Elementary Students' Learning in Mathematics.,Yian-Shu Chu; Haw-Ching Yang; Shian-Shyong Tseng; Che-Ching Yang,"Of all teaching methods, one-to-one human tutoring is the most powerful method for promoting learning. To achieve this aim and reduce teaching load, researchers developed intelligent tutoring systems (ITSs) to employ one-to-one tutoring (Aleven, McLaren, & Sewall, 2009; Aleven, McLaren, Sewall, & Koedinger, 2009; Anderson, Corbett, Koedinger, & Pelletier, 1995; Anderson & Reiser, 1985; Blessing, Gilbert, Ourada, & Ritter, 2009; Mitrovic et al., 2009; Mitrovic & Ohlsson, 1999; Suraweera, Mitrovic, & Martin, 2007; VanLehn et al., 2005). However, most ITSs have restricted user interfaces, which confine reasoning strategies of students during problem solving, thus ignoring the fact that students could use dissimilar strategies to solve a given question. Furthermore, student learning problems could be diagnosed from the derivation of their answers. In order to interpret students' mathematical problem-solving behaviors, this study developed a Model-tracing Intelligent Tutor (MIT) to diagnose students' learning problems and provide learning feedback for individual students. A quasi-experiment was conducted in an elementary school to evaluate the effectiveness of the proposed approach, in which 124 fifth graders participated. The experimental results show that the model-tracing-based learning diagnosis system is significantly more helpful to the students in learning mathematics than the conventional web-based test in terms of learning achievements. ",2014,04//,Journal of Educational Technology & Society,education,edu_tech,17,2,347-357,,,,#5000,Yian-ShuChu 2014,,
Teaching Database Design with Constraint-Based Tutors.,"Mitrovic, Antonija; Suraweera, Pramuditha","Design tasks are difficult to teach, due to large, unstructured solution spaces, underspecified problems, non-existent problem solving algorithms and stopping criteria. In this paper, we comment on our approach to develop KERMIT, a constraint-based tutor that taught database design. In later work, we re-implemented KERMIT as EER-Tutor, and extended its instructional domain. Several evaluation studies performed with KERMIT and EER-Tutor show that they are effective Intelligent Tutoring Systems (ITSs). We also comment on various extensions made to EER-Tutor over the years. There are several contributions of our research, such as developing effective problem-solving support for conceptual database design in terms of interface design. Our database design tutors deal with large solution spaces efficiently by specifying constraints that capture equivalent solution states, and using ideal solutions to capture the semantics of the problem. Instead of requiring a problem solver, the ITS checks whether the student's database schema is correct by matching it to constraints and the ideal solution. Another contribution of our work is in guidelines for developing effective feedback to the student. ",2016,03//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,26,1,448-456,,,,#4978,Mitrovic 2016,,
Online intelligent course based on grid and FPGA system.,"An, Yinghong; Wang, Xin; Liu, Xiaoli","Online intelligent course management is all about starting situations to boldly share information. The Grid knowledge of the goods and the ability to deliver, manage, and that they will be able to obtain the information you need about current development. FPGA (Field Programmable Gate Arrays) can cause the interface to grow faster and decline the large scale integration cycle design. A FPGA-based advanced structure has improved efficiency of another ASIC (application-specific integrated circuit) to discuss the various learning tools available online to improve the effectiveness of their learning and sharing habits to educate students with the help of social networks. Integrated field programmable based learning systems provide opportunities to create new interactive environments at a fast and affordable cost. The online intelligent course system used effective machine learning algorithm is used to improve the users or people knowledge with low cost and they spend more time on online studies to develop the skills. Based on the intelligent course method of these various architectures, grid suggestions about the limitations were observed. Further on, emphasize some of the large scale integration challenges and design issues that have been followed in order to make fruitful improvement in the intelligent online architecture system to provide the cultural aspects of online studies. Knowledge about the needed instruction is essential,so that the system can track all the technically feasible actions of the response track system. An implementation view the proposed field programmable array is used to determine the importance of online course systems from one point of view. ",2020,11//,Microprocessors & Microsystems,ai,ai,79,,N.PAG-N.PAG,,,,#5733,An 2020,,
Racial hierarchy and masculine space: Participatory in/equity in computational physics classrooms.,"Shah, Niral; Christensen, Julie A.; Ortiz, Nickolaus A.; Nguyen, Ai-Khanh; Byun, Sunghwan; Stroupe, David; Reinholz, Daniel L.","Computing is being integrated into a range of STEM disciplines. Still, computing remains inaccessible to many minoritized groups, especially girls and certain people of color. In this mixed methods study, we investigated racial and gendered patterns of equity and inequity in high school physics classrooms incorporating computational modeling, with an emphasis on group work. The objectives of this study were: 1) to document equity patterns in student participation and how they vary based on group composition by race and gender; and 2) to understand how discourses of race and gender influence group interactions. We used the EQUIP web app () to analyze quantitative patterns in student participation. We then identified video of three group sessions and analyzed how discourses of race and gender mediated classroom interactions. Data show that racial hierarchies were prominent, with White students dominating group interaction and Black and Latinx students experiencing substantial marginalization. While there was evidence of gender equity in many groups – particularly those with greater proportions of girls – we show how computing and physics were still maintained as masculine spaces. Teachers of computing should intentionally structure learning environments to attenuate the impact of White supremacy and patriarchy. More research is also needed on how power operates in computing education at the level of classroom interaction.",2020,09//,Computer Science Education,education,edu_computr,30,3,254-278,,,,#5786,Shah 2020,,
Design considerations for combining augmented reality with intelligent tutors.,"Herbert, Bradley; Ens, Barrett; Weerasinghe, Amali; Billinghurst, Mark; Wigley, Grant","Highlights • The effectiveness of Intelligent Tutoring Systems in psychomotor domains can potentially be enhanced by combining them with Augmented Reality paradigms. • Due to ITS complexity and design, work on the use of ITSs with AR is significantly limited and how these paradigms work together is not well understood. • Existing work shows that combining ITSs with AR enhances significantly enhances performance and learning. • Combining AR with ITS requires a gateway interface and networking capabilities in both the ITS and the AR application, due to non-standardised mechanisms used in these systems. • Additional research on the design of the interface; authoring systems for ITSs in AR and their learning effectiveness is required. Graphical abstract Abstract Augmented Reality overlays virtual objects on the real world in real-time and has the potential to enhance education, however, few AR training systems provide personalised learning support. Combining AR with intelligent tutoring systems has the potential to improve training outcomes by providing personalised learner support, such as feedback on the AR environment. This paper reviews the current state of AR training systems combined with ITSs and proposes a series of requirements for combining the two paradigms. In addition, this paper identifies a growing need to provide more research in the context of design and implementation of adaptive augmented reality tutors (ARATs). These include possibilities of evaluating the user interfaces of ARAT and potential domains where an ARAT might be considered effective.",2018,12//,Computers & Graphics,technology,tech_computr_graph,77,,166-182,,,,#4945,Herbert 2018,,
Effects of interactivity and instructional scaffolding on learning: Self-regulation in online video-based environments.,"Delen, Erhan; Liew, Jeffrey; Willson, Victor","Online learning often requires learners to be self-directed and engaged. The present study examined students' self-regulatory behaviors in online video-based learning environments. Using an experimental design, this study investigated the effects of a newly designed enhanced video learning environment, which was designed to support or scaffold students' self-regulated or self-directed learning on students' learning behaviors and outcomes. In addition, correspondence between students' self-regulation strategies in traditional learning environments and observed self-regulated learning behaviors in the enhanced video environment were examined. A cross-sectional experimental research design with systematic random assignment of participants to either the control condition (common video) or the experimental condition (enhanced video) was utilized. Undergraduate and graduate students participated in the study (N = 80). Study results indicate that the newly designed enhanced video learning environment was a superior instructional tool than the common video learning environment in terms students' learning performance. In addition, there was correspondence between graduate students' self-reported self-regulation and observed self-regulation, with those high on seeking/learning information and managing their environment/behavior more likely to engage more in interactive note-taking.",2014,09//,Computers & Education,education,edu_computr,78,,312-320,,,,#6435,Delen 2014,,
The Negotiation of Meaning in Epistemic Situations.,"Baker, Michael","This article is a commentary on a model for negotiation in teaching-learning dialogues (Baker ) that traces its origins and developments over the past 20 years. The first main section of the paper describes the research background out of which the model arose, within the credo of individualised tutoring of the 1980s. This is followed by a summary of the main elements of the model, then a presentation of its subsequent developments. These comprise the analysis of argumentation dialogue and its potential for collaborative learning, the analysis of interpersonal relations in relation to the interactive regulation of affect, and extensions of the model to other epistemic situations such as explanation generation, co-design, online epistemic discussions and use of communication interfaces in computer-supported collaborative learning environments. On these bases, the object of study of this research is defined as the processes of negotiation of meaning in epistemic situations. It is concluded that the main core of the model was retained, throughout its deepening and extension, but the underlying theory was radically changed, from cognitivist belief-systems to a view of dialogue itself as collective thinking. Two challenges for artificial intelligence and education research are raised: the formalisation of interpersonal relations as they are played out in social interaction, and the analysis of the processes of appropriation of discourse genres. ",2016,03//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,26,1,133-149,,,,#5926,Baker 2016,,
A New Perspective of Negotiation-Based Dialog to Enhance Metacognitive Skills in the Context of Open Learner Models.,"Suleman, Raja; Mizoguchi, Riichiro; Ikeda, Mitsuru","Negotiation mechanism using conversational agents (chatbots) has been used in Open Learner Models (OLM) to enhance learner model accuracy and provide opportunities for learner reflection. Using chatbots that allow for natural language discussions has shown positive learning gains in students. Traditional OLMs assume a learner to be able to manage their own learning and already in an appropriate affective/behavioral state that is conducive for learning. This paper proposes a new perspective of learning that advances the state of the art in fully-negotiated OLMs by exploiting learner's affective & behavioral states to generate engaging natural language dialogues that train them to enhance their metacognitive skills. In order to achieve this, we have developed the NDLtutor that provides a natural language interface to learners. Our system generates context-aware dialogues automatically to enhance learner participation and reflection. This paper provides details on the design and implementation of the NDLtutor and discusses two evaluation studies. The first evaluation study focuses on the dialogue management capabilities of our system and demonstrates that our dialog system works satisfactorily to realize meaningful and natural interactions for negotiation. The second evaluation study investigates the effects of our system on the self-assessment and self-reflection of the learners. The results of the evaluations show that the NDLtutor is able to produce significant improvements in the self-assessment accuracy of the learners and also provides adequate support for prompting self-reflection in learners.",2016,12//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,26,4,1069-1115,,,,#5925,Suleman 2016,,
Understanding the effects of real-time sentiment analysis and morale visualisation in backchannel systems: A case study.,"Wyeld, Theodor; Jiranantanagorn, Peerumporn; Shen, Haifeng; Liao, Kewen; Bednarz, Tomasz","• Design and evaluation of a backchannel system for connecting presenters with audience in realtime. After reviewing existing systems, the best components were included and new components added to improve overall performance and usability. • Using a seven part principles-based evaluation system, analysis of the effectives of the tool possible as well as user attitude towards use of the tool. This was also analysed and confirms the tools effectiveness. • A Markov chain was computed to confirm initial findings as well as predict possible future uptake of the tool. • Some recommendations about future research directions and applicability of this tool in a wider context – other than education alone – is discussed. When presenting to a large group of students, either in an amphitheatre or through an online platform, effectively connecting to the audience – understanding how well the audience is following the presentation and taking appropriate actions promptly if they experience difficulties – is a serious challenge. Backchannel systems are sometimes deployed to address this issue by allowing audience to give feedback to the presenter without interrupting the current discourse. However, these systems are not designed to immediately aggregate and present the audience's feedback to the presenter in a meaningful way that is easy to quickly digest. To fill this gap, we have explored a proof-of-concept method for analysing the emotions and sentiments from the audience's feedback in real time and displaying to the presenter a morale graph showing a trend of the audience's overall reaction over time. This allows a presenter to effectively connected to their audience in real time, knowing whether their presentation is going well and what issues their audience may have in common at any specific moment. We have further implemented this method in an educational context, using a prototype backchannel system, known as ClasSense , for a lecturer to effectively connect to their students. This paper presents the evaluation of this system, which shows that lecturers accept and prefer the morale graph based user interface developed over other backchannel user interfaces that display all posts in chronological order. Students also positively expressed their agreement that the system not only makes their feedback an important part of the class but also increases their interactions with the lecturers. This is further confirmed with a Markov chain predicting the probability that students' and lecturers' survey results lead to their overall positive sentiment towards the tool. The flexibility of the ClasSense system suggests it may also be suitable in contexts other than education.",2021,01//,International Journal of Human-Computer Studies,engineering,eng_hci,145,,N.PAG-N.PAG,,,,#5878,Wyeld 2021,,
Intelligent Computer Assisted Language Learning (ICALL) for nêhiyawêwin: An In-Depth User-Experience Evaluation.,"Bontogon, Megan; Arppe, Antti; Antonsen, Lene; Thunder, Dorothy; Lachler, Jordan","Intelligent computer assisted language learning (ICALL) applications for Indigenous languages are a relatively new avenue for computer assisted language learning (CALL). CALL allows language learners to practise a wide range of grammatical exercises and receive feedback on their answers outside of class time. ICALL is essential for dynamically producing these exercises for polysynthetic Indigenous languages with complex morphology. To better understand user perceptions and behaviours within an ICALL setting, an in-depth user evaluation of nêhiyawêtân (a university-level ICALL application for Plains Cree) was initiated. Five second language learners of Plains Cree were recorded using nêhiyawêtân as they completed various grammatical exercises. They were encouraged to report their opinions, thoughts, and observations aloud. Subsequently, observed user reactions and strategies were recorded. This supplied us with potential user errors, strategies, and preferences that allowed us to improve answer feedback and the design and interface of the exercise templates. Moreover, the results of surveys and observations highlighted sociocultural issues that are not seen in mainstream CALL for majority languages. We hope that this evaluation will serve as a guideline for evaluating future ICALL programs for Indigenous and other minority languages. ",2018,08//,Canadian Modern Language Review,education,edu_esl,74,3,337-362,,,,#4974,Bontogon 2018,,
An adaptation algorithm for an intelligent natural language tutoring system.,"Latham, Annabel; Crockett, Keeley; McLean, David","The focus of computerised learning has shifted from content delivery towards personalised online learning with Intelligent Tutoring Systems (ITS). Oscar Conversational ITS (CITS) is a sophisticated ITS that uses a natural language interface to enable learners to construct their own knowledge through discussion. Oscar CITS aims to mimic a human tutor by dynamically detecting and adapting to an individual's learning styles whilst directing the conversational tutorial. Oscar CITS is currently live and being successfully used to support learning by university students. The major contribution of this paper is the development of the novel Oscar CITS adaptation algorithm and its application to the Felder–Silverman learning styles model. The generic Oscar CITS adaptation algorithm uniquely combines the strength of an individual's learning style preference with the available adaptive tutoring material for each tutorial question to decide the best fitting adaptation. A case study is described, where Oscar CITS is implemented to deliver an adaptive SQL tutorial. Two experiments are reported which empirically test the Oscar CITS adaptation algorithm with students in a real teaching/learning environment. The results show that learners experiencing a conversational tutorial personalised to their learning styles performed significantly better during the tutorial than those with an unmatched tutorial.",2014,02//,Computers & Education,education,edu_computr,71,,97-110,,,,#5873,Latham 2014,,
Optimization of self-learning in Computer Engineering courses: An intelligent software system supported by Artificial Neural Network and Vortex Optimization Algorithm.,"Kose, Utku; Arslan, Ahmet","ABSTRACT Self-learning process is an important factor that enables learners to improve their own educational experiences when they are away of face-to-face interactions with the teacher. A well-designed self-learning activity process supports both learners and teachers to achieve educational objectives rapidly. Because of this, there has always been a remarkable trend on developing alternative self-learning approaches. In this context, this study is based on two essential objectives. Firstly, it aims to introduce an intelligent software system, which optimizes and improves computer engineering students' self-learning processes. Secondly, it aims to improve computer engineering students' self-learning during the courses. As general, the software system introduced here evaluates students' intelligence levels according to the Theory of Multiple Intelligences and supports their learning via accurately chosen materials provided over the software interface. The evaluation mechanism of the system is based on a hybrid Artificial Intelligence approach formed by an Artificial Neural Network, and an optimization algorithm called as Vortex Optimization Algorithm (VOA). The system is usable for especially technical courses taught at computer engineering departments of universities and makes it easier to teach abstract subjects. For having idea about success of the system, it has been tested with students and positive results on optimizing and improving self-learning have been obtained. Additionally, also a technical evaluation has been done previously, in order to see if the VOA is a good choice to be used in the system. It can be said that the whole obtained results encourage the authors to continue to future works. ",2017,01//,Computer Applications in Engineering Education,education,edu_eng_comput,25,1,142-156,,,,#5861,Kose 2017,,
Learning from multi-label data with interactivity constraints: An extensive experimental study.,"Nair-Benrekia, Noureddine-Yassine; Kuntz, Pascale; Meyer, Frank","Interactive classification aims at introducing user preferences in the learning process to produce individualized outcomes more adapted to each user’s behavior than the fully automatic approaches. The current interactive classification systems generally adopt a single-label classification paradigm that constrains items to span one label at a time and consequently limit the user’s expressiveness while he/she interacts with data that are inherently multi-label. Moreover, the experimental evaluations are mainly subjective and closely depend on the targeted use cases and the interface characteristics. This paper presents the first extensive study of the impact of the interactivity constraints on the performances of a large set of twelve well-established multi-label learning methods. We restrict ourselves to the evaluation of the classifier predictive and time-computation performances while the number of training examples regularly increases and we focus on the beginning of the classification task where few examples are available. The classifier performances are evaluated with an experimental protocol independent of any implementation environment on a set of twelve multi-label benchmarks of various sizes from different domains. Our comparison shows that four classifiers can be distinguished for the prediction quality: RF-PCT (Random Forest of Predictive Clustering Trees, (Kocev, 2011)), EBR (Ensemble of Binary Relevance, (Read et al., 2011)), CLR (Calibrated Label Ranking, (Fürnkranz et al., 2008)) and ML k NN (Multi-label k NN, (Zhang and Zhou, 2007)) with an advantage for the first two ensemble classifiers. Moreover, only RF-PCT competes with the fastest classifiers and is therefore considered as the most promising classifier for an interactive multi-label learning system.",2015,08//,Expert Systems with Applications,technology,tech_is,42,13,5723-5736,,,,#5755,Nair-Benrekia 2015,,
Mechanix: A natural sketch interface tool for teaching truss analysis and free-body diagrams.,"Hammond, Tracy; Linsey, Julie; Atilola, Olufunmilola; Valentine, Stephanie; Kim, Hong-Hoe; Turner, David; McTigue, Erin","Massive open online courses, online tutoring systems, and other computer homework systems are rapidly changing engineering education by providing increased student feedback and capitalizing upon online systems' scalability. While online homework systems provide great benefits, a growing concern among engineering educators is that students are losing both the critical art of sketching and the ability to take a real system and reduce it to an accurate but simplified free-body diagram (FBD). For example, some online systems allow the drag and drop of forces onto FBDs, but they do not allow the user to sketch the FBDs, which is a vital part of the learning process. In this paper, we discuss Mechanix, a sketch recognition tool that provides an efficient means for engineering students to learn how to draw truss FBDs and solve truss problems. The system allows students to sketch FBDs into a tablet computer or by using a mouse and a standard computer monitor. Using artificial intelligence, Mechanix can determine not only the component shapes and features of the diagram but also the relationships between those shapes and features. Because Mechanix is domain specific, it can use those relationships to determine not only whether a student's work is correct but also why it is incorrect. Mechanix is then able to provide immediate, constructive feedback to students without providing final answers. Within this manuscript, we document the inner workings of Mechanix, including the artificial intelligence behind the scenes, and present studies of the effects on student learning. The evaluations have shown that Mechanix is as effective as paper-and-pencil-based homework for teaching method of joints truss analysis; focus groups with students who used the program have revealed that they believe Mechanix enhances their learning and that they are highly engaged while using it.",2014,05//,AI EDAM,ai,ai,28,2,169-192,,,,#5779,Hammond 2014,,
Effects of Prior Knowledge in Mathematics on Learner-Interface Interactions in a Learning-by-Teaching Intelligent Tutoring System.,"Bringula, Rex P.; Basa, Roselle S.; Dela Cruz, Cecilio; Rodrigo, Ma. Mercedes T.","This study attempted to determine the influence of prior knowledge in mathematics of students on learner-interface interactions in a learning-by-teaching intelligent tutoring system. One hundred thirty-nine high school students answered a pretest (i.e., the prior knowledge in mathematics) and a posttest. In between the pretest and posttest, they used the SimStudent, an intelligent tutoring system that follows a teaching-by-learning paradigm. The intervention period lasted for three consecutive days with 1 hour session each. SimStudent captured learner-interface interactions, such as time spent tutoring, number of quizzes conducted, and number of hints requested. It was disclosed that prior knowledge in term identification was the only skill that had a consistent, positive, and significant influence on learner-interface interaction with a SimStudent. Thus, the null hypothesis stating that prior knowledge in mathematics does not significantly influence interaction of students with a simulated student was partially rejected. It was concluded that the students may demonstrate or omit a skill, depending on their prior knowledge on identifying the terms of equations and the next step in solving equations. Recommendations and directions for future studies were presented.",2016,07//,Journal of Educational Computing Research,education,edu_computr_app,54,4,462-482,,,,#5730,Bringula 2016,,
WEB BASED EDUCATIONAL TOOL FOR METAHEURISTIC ALGORITHMS.,"SARIMAN, Güncel; KÜÇÜKSİLLE, Ecir Uğur","Metaheuristic optimization algorithms are nowadays being employed to solve a wide variety of optimization problems. These algorithms are not based on mathematical evidence and have mostly been developed by imitation of natural phenomenon. In this study, a web-based educational metaheuristics testing tool was developed. With this tool, the users are able to test Artificial Immune System and Artificial Bee Colony algorithms on Benchmark functions, observe the results of optimization by modifying the parameters for each algorithm, and at the same time perform optimization procedures by typing their own functions with their own constraints. In addition, information on the working steps of both algorithms are provided in the application.",2014,06//,Pamukkale University Journal of Engineering Sciences,engineering,eng,20,2,46-53,,,,#5726,SARIMAN 2014,,
HOW TO PROGRAM A CHATBOT -- AN INTRODUCTORY PROJECT AND STUDENT PERCEPTIONS.,"Ju Long; Yuan, Michael Juntao; Hsun-Ming Lee","Aim/Purpose One of the most fascinating developments in computer user interfaces in recent years is the rise of ""chatbots"". Yet extent information system (IS) curriculum lacks teaching resources on chatbots programming. Background To better prepare students for this new technological development and to enhance the IS curriculum, we introduce a project that teaches students how to program simple chatbots, including a transactional chatbot and a conversational chatbot. Methodology We demonstrated a project that teaches students how to program two types of simple chatbots: a transactional chatbot and a conversational chatbot. We also conducted a survey to examine students' perceptions on their learning experience. Findings Our survey on students' perception of the project finds that learning chatbots is deemed very useful because chatbot programming projects have enabled the students to understand the subject better. We also found that social influence has positively motivated the students to learn chatbot programming. Though most of the students have no prior experiences programming chatbots, their self-efficacy towards chatbot programming remained high after working through the programming project. Despite the difficult tasks, over 71% of respondents agree to various degrees that chatbot programming is fun. Though most students agree that chatbot programming is not easy to learn, more than 70% of respondents indicated that they will use or learn chatbots in the near future. The overwhelmingly positive responses are impressive given that this is the first time for the students to program and learn chatbots. Recommendations for Practitioners In this article, we introduced a step by step project on teaching chatbot programming in an information systems class. Following the project instructions, students can get their first intelligent chatbots up and running in a few hours using Slack. This article describes the project in detail as well as students' perceptions. Recommendations for Researchers We used UTAUT model to measure students' perception of the projects. This study could be of value to researchers studying students' technology learning and adoption behaviors. Impact on Society To our best knowledge, pedagogical resources that teach IS students how to program chatbots, especially the introductory level materials, are limited. We hope this teaching case could be of value for IS educators when introducing IS students to the wonderful field of chatbot programming. Future Research For future work, we plan to expand the teaching resources to cover more advanced chatbot programming projects, such as on how to make chatbot more human-like.",2019,01//,Issues in Informing Science & Information Technology,education,edu_tech,16,,1-31,,,,#5705,JuLong 2019,,
3-D Interactive Control Laboratory for Classroom Demonstration and Online Experimentation in Engineering Education.,"Lei, Zhongcheng; Zhou, Hong; Hu, Wenshan; Deng, Qijun; Zhou, Dongguo; Liu, Zhi-Wei; Gao, Xingran","Contribution: A 3-D interactive learning environment, from which students of different levels in the control engineering background can benefit regarding classroom demonstration and online experimentation, is present. The findings support that students can benefit from the application of the online laboratory. Background: Control system design is vital in control engineering education. Conventionally, lectures on control system design are difficult for students to comprehend. Some online laboratories can be used for remote and virtual experiments on control system design. However, little attention has been paid to the possible classroom demonstration using online laboratories. Intended Outcomes: Students in a course on control system design are expected to be able to: 1) comprehend theories and concepts better from improved classroom teaching with online interactive demonstrations; 2) customize control algorithms in after-class experimentation; and 3) tailor monitoring interfaces with rich interactive features. Application Design: Education-oriented technologies are provided to offer both remote and virtual experimental services. 3-D visualization and interaction are achieved which enable great flexibility and interactivities for users. The proportional–integral (PI) control of a remote fan speed control test rig has been used to teach the design of integral anti-windup. Teaching and learning scenarios have been demonstrated regarding students at four different levels, which can help students to comprehend different concepts in control related modules. Findings: The multiyear evaluation results show that there is an improvement in student performance with the application of Networked Control System Laboratory (NCSLab). Students obtained a higher final score in the two class modules on average. Moreover, there is a boost regarding the assessment of the two class modules.",2021,08//,IEEE Transactions on Education,education,edu,64,3,276-282,,,,#5068,Lei 2021,,
Knowledge discovery of game design features by mining user-generated feedback.,"Gopinath Bharathi, Ajay Karthic B.; Singh, Abhinav; Tucker, Conrad S.; Nembhard, Harriet B.","The term “Gamification” is an emerging paradigm that aims to employ game mechanics and game thinking to change behavior. Gamification offers several effective ways to motivate users into action such as challenges, levels and rewards. However, an open research problem is discovering the set of gamification features that consistently result in a higher probability of success for a given task, game or application. The objective of this paper is to bridge this knowledge gap by quantifying the gamification features that are consistently found in successful applications. Knowledge gained from this work will inform designers about the gamification features that lead to higher chances of an application's success, and the gamification features that do not significantly impact the success of an application. The case study presented in this work leverages demographic heterogeneity and scale of applications existing within mobile platforms to evaluate the impact of gamification features on the success or failure of those applications. The successful game design features identified have the potential to be embedded into interactive gamification platforms across various fields such as healthcare, education, military and marketing, in order to maintain or enhance user engagement. ",2016,07//,Computers in Human Behavior,technology,tech_human_inter,60,,361-371,,,,#5035,GopinathBharathi 2016,,
